1763291482.729478 client started (454356): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1763291482.729548 on Linux 6.16.3-76061603-generic #202508231538~1758561135~22.04~171c8de SMP PREEMPT_DYNAMIC Mon S
1763291482.730180 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730181 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730182 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730183 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730184 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730185 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730186 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730187 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730188 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730189 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730190 sending message 112 to peer 0x630a558b0160 (8 bytes)
1763291482.730191 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730192 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730193 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730196 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730199 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730200 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730201 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730202 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730203 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730204 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730205 sending message 112 to peer 0x630a558b0160 (8 bytes)
1763291482.730206 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730207 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730209 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730210 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730211 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730212 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730213 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730214 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730215 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730216 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730217 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730218 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730219 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730220 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730221 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730222 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730223 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730224 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730225 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730226 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730227 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730228 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730229 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730230 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730231 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730232 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730233 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730235 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730236 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730238 sending message 112 to peer 0x630a558b0160 (12 bytes)
